isocntry,lgbt_rights,age,lgbt_friends,religion,discrim_percep,sastisfaction,discrim_exp,online_activism,antidiscrim_eff,left_right,marital,gender,education,occupation,urban,mobile,fin_hardship,internet,social_class,voice_country,opinion_leader,interview_size,cooperation,min_ethnic,min_skin,min_religion,min_sexual,min_roma,w1,lgbt_power,gdp_pc,free_expr,polarisation,hate_speech,educ_equality
BE,3,32,1,1,2,2,0,0,7,8,1,0,3,4,3,1,3,1,3,1,1,1,1,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,72,1,1,4,2,0,0,7,8,3,0,3,7,3,1,2,3,3,1,2,1,1,0,0,0,0,0,0.9358,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,46,1,1,2,1,0,0,8,7,2,1,3,1,3,1,3,1,4,1,1,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,52,1,5,2,2,0,0,8,5,1,1,3,2,3,1,3,1,3,1,2,1,2,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,33,1,1,1,1,0,0,7,7,1,0,3,4,3,1,3,1,3,1,2,1,2,0,0,0,0,0,0.9512,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,71,1,1,2,2,0,0,7,5,2,0,3,7,3,1,3,6,3,1,2,1,1,0,0,0,0,0,0.9358,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,62,0,1,2,1,0,0,6,7,2,0,3,7,3,1,3,2,3,2,2,1,1,0,0,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,24,1,12,2,2,0,1,5,3,1,0,4,8,3,1,3,1,4,2,2,1,1,0,0,0,0,0,0.8117,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,18,1,1,3,2,0,0,12,5,1,1,4,8,3,1,3,1,3,2,2,1,1,0,0,0,0,0,0.7638,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,27,1,14,2,2,0,0,7,97,2,1,3,3,3,1,3,1,3,2,2,4,1,0,1,0,0,0,1.1427,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,51,1,12,2,3,0,0,6,6,2,1,3,2,3,1,3,1,4,1,1,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,42,0,12,3,2,0,0,5,7,2,0,3,3,3,1,3,1,3,2,1,2,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,61,0,1,2,2,0,0,3,4,2,0,3,7,3,1,3,1,3,2,1,1,1,0,0,0,0,0,0.587,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,51,0,12,2,2,0,0,12,6,2,0,3,3,3,1,3,1,3,2,2,1,1,0,0,0,0,0,0.9569,2.384,96.77,0.973,-1.717,0.364,2.52
BE,4,76,0,1,1,2,0,0,4,5,4,0,2,7,3,1,3,6,3,2,2,1,1,0,0,0,0,0,0.9358,2.384,96.77,0.973,-1.717,0.364,2.52
BE,4,43,1,1,2,2,0,0,4,7,2,1,2,1,3,1,3,1,3,4,1,1,1,0,0,0,0,0,0.9475,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,19,1,13,1,3,1,0,2,1,1,0,4,8,1,1,3,1,3,3,1,1,1,0,0,0,1,0,0.8802,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,55,1,1,2,2,0,0,5,6,3,0,3,3,1,1,3,4,3,2,2,1,1,0,0,0,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,68,1,4,1,3,0,1,5,5,2,0,2,7,3,1,1,3,2,3,2,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,52,1,1,2,3,0,0,6,5,1,0,3,6,1,1,1,6,2,2,2,1,2,0,1,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,61,1,12,1,1,1,1,7,8,1,1,3,7,3,1,3,1,3,1,1,1,2,0,0,0,1,0,0.8036,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,72,1,13,2,1,0,0,6,8,2,1,2,7,1,1,2,1,3,1,2,1,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,28,1,13,2,2,0,0,7,8,1,1,3,4,3,1,3,1,3,2,2,1,2,0,1,1,0,0,1.2231,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,62,1,1,1,1,0,0,5,7,2,0,2,7,3,1,3,1,2,4,2,1,2,0,1,1,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,36,1,13,2,2,0,1,2,3,2,0,3,2,3,1,3,1,3,3,2,1,2,0,0,0,0,0,1.0263,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,73,1,13,3,1,0,0,7,3,2,1,2,3,3,1,3,1,3,3,4,1,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,68,1,12,3,2,0,0,5,3,2,0,3,1,3,1,3,1,4,1,1,1,1,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,77,0,14,3,1,0,0,5,5,2,1,2,7,3,1,3,1,3,2,4,2,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,49,1,13,2,1,0,0,6,6,2,1,3,3,3,1,3,1,3,2,3,1,1,0,0,0,0,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,72,1,1,4,1,0,0,6,6,2,1,3,7,2,1,3,1,3,2,2,1,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,65,1,12,3,1,0,0,4,3,2,1,3,7,2,1,3,1,3,1,2,1,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,5,37,0,6,5,1,0,0,6,5,2,1,2,4,2,1,1,3,2,3,4,3,1,0,0,0,0,0,1.2231,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,72,1,13,3,1,0,0,5,5,2,1,3,7,3,1,3,1,3,1,4,2,1,0,0,0,0,0,0.5808,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,45,1,1,2,1,0,0,7,5,2,0,3,3,3,1,3,1,3,1,3,1,1,0,0,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,47,1,12,1,2,0,0,5,5,1,0,2,2,2,1,3,1,3,2,3,1,1,0,0,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,63,1,1,2,2,0,0,4,5,3,0,2,6,3,1,3,1,3,1,3,1,1,0,0,0,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,15,0,13,5,3,0,0,5,3,4,1,8,4,3,1,3,1,3,4,2,1,1,0,0,0,1,0,0.8291,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,52,1,1,1,1,1,0,4,8,2,1,3,4,2,1,3,1,3,2,2,1,1,0,0,0,1,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,58,1,13,2,2,0,1,2,1,1,0,2,6,3,1,1,6,2,3,2,1,1,0,1,0,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,71,0,12,2,2,0,0,4,5,2,0,2,1,1,1,2,1,3,1,2,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,63,1,4,1,2,0,1,5,6,4,0,2,7,3,1,1,1,3,2,2,3,2,0,0,1,0,0,0.6459,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,64,1,1,2,2,0,0,4,4,2,1,2,7,3,1,3,1,3,3,3,1,2,0,0,0,0,0,0.8036,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,54,1,1,1,3,0,0,5,7,3,1,2,4,2,1,1,1,1,4,3,1,1,0,0,0,0,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,70,0,1,3,2,0,0,7,8,2,0,2,7,2,1,3,1,3,2,4,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,32,1,12,1,2,0,0,1,5,1,0,3,4,3,1,3,1,2,1,4,1,2,1,1,1,0,0,1.0263,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,70,0,1,3,1,0,0,9,10,3,0,3,7,3,1,3,2,3,1,2,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,21,1,13,1,2,1,1,4,3,2,0,4,8,2,1,3,1,3,2,2,1,2,0,0,0,1,0,0.8802,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,54,1,12,3,1,0,0,9,7,2,1,3,1,3,1,3,1,3,2,2,1,1,0,0,0,0,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,67,1,1,2,2,0,0,3,4,4,0,2,7,2,1,2,1,2,2,3,1,2,0,1,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,2,70,1,5,2,3,0,1,4,5,3,0,3,7,2,1,2,3,3,2,2,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,43,1,13,2,2,0,0,7,4,2,0,3,2,1,1,3,1,4,1,3,1,1,0,0,0,0,0,1.0313,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,70,0,14,2,3,0,0,5,2,1,0,3,7,2,1,1,1,3,3,2,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,68,1,13,2,1,0,0,5,1,2,0,2,7,3,1,3,1,3,2,4,1,1,0,0,1,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,39,1,1,2,2,0,0,5,4,2,0,3,7,3,1,2,1,3,2,2,1,1,1,1,0,0,0,1.0263,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,40,1,13,3,2,0,0,9,4,1,1,3,3,3,1,3,1,3,2,2,1,1,0,0,0,1,0,1.0214,2.384,96.77,0.973,-1.717,0.364,2.52
BE,3,56,0,10,3,3,0,1,3,5,1,1,3,7,3,1,3,1,1,3,2,1,1,1,1,1,0,0,0.8036,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,69,1,1,3,2,0,0,8,8,1,0,3,7,3,1,3,1,2,2,3,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,75,1,12,2,1,0,0,6,8,3,0,2,7,3,1,2,6,3,2,1,1,2,0,0,0,0,0,1.0093,2.384,96.77,0.973,-1.717,0.364,2.52
BE,1,22,1,7,2,2,0,0,7,10,1,1,4,8,3,1,3,1,3,2,2,1,2,0,0,0,0,0,0.8291,2.384,96.77,0.973,-1.717,0.364,2.52
